question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,Albariño,C,Close! Swirl the glass and give it another go.,Pairings
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,Cava,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Classifications
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,Albariño,C,Close! Swirl the glass and give it another go.,Grapes
Sancerre is typically made from which grape?,Chenin Blanc,Sauvignon Blanc,Chardonnay,Barolo,B,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,Port,C,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'botrytis' known for in wine?,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
"For beach days, Giuseppe brings…",Albariño,Vintage Madeira,Hot mulled wine,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'riserva' (Italy) generally signal?,Higher sweetness,Longer aging,Lower alcohol,Muscadet,B,Close! Swirl the glass and give it another go.,Styles
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,Cava,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
What does 'riserva' (Italy) generally signal?,Lower alcohol,Higher sweetness,Longer aging,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,Cava,B,Not quite—Giuseppe says take another sip and try again.,Styles
Sherry can be biologically aged under…,Flor,Lees,Botrytis,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s travel essential?,Spare tie,Corkscrew,Fondue set,Muscadet,B,Close! Swirl the glass and give it another go.,Styles
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",Sauternes,C,Close! Swirl the glass and give it another go.,Styles
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,Albariño,C,Close! Swirl the glass and give it another go.,Styles
What is 'botrytis' known for in wine?,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,Pinot Noir,C,Close! Swirl the glass and give it another go.,Pairings
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,Albariño,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,Sherry,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Warm Merlot,Mulled wine,Sherry,A,Close! Swirl the glass and give it another go.,Pairings
Sauternes is primarily made from…,Gewürztraminer,Sémillon,Sauvignon Gris,Barolo,B,Close! Swirl the glass and give it another go.,Regions and Appellations
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What style is Vinho Verde usually known for?,"Light, crisp whites",Fortified dessert wines,"Heavy, oaky reds",Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,Port,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,Prosecco,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Which country created Carmenère revival?,Chile,Uruguay,Argentina,Rosé,A,Close! Swirl the glass and give it another go.,Grapes
‘Sur lie’ aging means aging on the…,Stems,Lees (dead yeast),Grape skins,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
‘Sur lie’ aging means aging on the…,Stems,Grape skins,Lees (dead yeast),Cava,C,Close! Swirl the glass and give it another go.,Styles
Most Lambrusco is…,Still white,Lightly sparkling red,Fortified rosé,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Which wine is typically un-oaked?,Muscadet,Napa Chardonnay,Reserva Rioja,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,Sherry,C,Close! Swirl the glass and give it another go.,Grapes
Sherry can be biologically aged under…,Lees,Flor,Botrytis,Albariño,B,Close! Swirl the glass and give it another go.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s travel essential?,Fondue set,Corkscrew,Spare tie,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,Sherry,B,Close! Swirl the glass and give it another go.,Styles
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Which climate tends to give higher acidity?,Cool climate,Arid desert,Hot climate,Barolo,A,Close! Swirl the glass and give it another go.,Styles
Which toast wins Giuseppe’s heart?,Prozit!,Salute!,Skål!,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What is 'botrytis' known for in wine?,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,Barolo,B,Close! Swirl the glass and give it another go.,Styles
"If pasta is al dente, wine should be…",Flat and sleepy,Al dente in spirit: lively,Boiling hot,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Styles
What flavor can oak impart?,Lime leaf,Black pepper only,Vanilla,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Beaujolais is mostly made from which grape?,Gamay,Syrah,Pinot Noir,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Which region produces Chablis?,Burgundy,Rhone,Loire Valley,Sauternes,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Which grape makes Barolo?,Montepulciano,Sangiovese,Nebbiolo,Sherry,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,Chianti Classico,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Steak tartare,Potato chips,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,Muscadet,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s cure for a dreary day?,A bright rosé,A burnt espresso,A flat cola,Barolo,A,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always fortified,Always sparkling,Port,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Furmint is a key variety in…,Tokaj,Vinho Verde,Rioja,Albariño,A,Close! Swirl the glass and give it another go.,Grapes
Which grape makes Barolo?,Nebbiolo,Sangiovese,Montepulciano,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Tannins in wine come mostly from…,Filtration,"Skins, seeds, and oak",Fermentation temperature,Albariño,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
‘Sur lie’ aging means aging on the…,Lees (dead yeast),Stems,Grape skins,Albariño,A,Close! Swirl the glass and give it another go.,Styles
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,Prosecco,C,Close! Swirl the glass and give it another go.,Pairings
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Port,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,Port,C,Not quite—Giuseppe says take another sip and try again.,Grapes
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Barolo,C,Close! Swirl the glass and give it another go.,Styles
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,Barolo,A,Close! Swirl the glass and give it another go.,Pairings
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
What is 'botrytis' known for in wine?,Sparkling bubbles,Bacterial spoilage,Noble rot for sweet wines,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Vouvray is made from…,Sauvignon Blanc,Chenin Blanc,Viognier,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What pairs with pizza on a Tuesday?,Sauternes,Vintage Port,Sangiovese,Port,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Which country created Carmenère revival?,Chile,Argentina,Uruguay,Muscadet,A,Close! Swirl the glass and give it another go.,Grapes
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Amarone is produced by…,Free-run juice only,Appassimento (dried grapes),Carbonic maceration,Port,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which grape makes Barolo?,Nebbiolo,Sangiovese,Montepulciano,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,Grüner Veltliner,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,Port,C,Close! Swirl the glass and give it another go.,Pairings
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Sauternes,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s cure for a dreary day?,A flat cola,A bright rosé,A burnt espresso,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
Furmint is a key variety in…,Tokaj,Rioja,Vinho Verde,Barolo,A,Close! Swirl the glass and give it another go.,Grapes
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which grape makes Barolo?,Montepulciano,Nebbiolo,Sangiovese,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Which wine is typically un-oaked?,Reserva Rioja,Muscadet,Napa Chardonnay,Pinot Noir,B,Close! Swirl the glass and give it another go.,Styles
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Rioja is primarily associated with which grape?,Tempranillo,Garnacha,Mazuelo,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Pairings
