question,study_area,option_a,option_b,option_c,optiopn_d,correct_answer,incorrect_answer_response
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Boiling hot,Al dente in spirit: lively,,C,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Dry to sweet with high acidity,Always sparkling,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,,B,
What food is a friendly match with Pinot Noir?,Grapes,Spicy curry,Caramel flan,Salmon,,C,
Sancerre is typically made from which grape?,Grapes,Chenin Blanc,Sauvignon Blanc,Chardonnay,,B,
Giuseppe’s travel essential?,Styles,Corkscrew,Fondue set,Spare tie,,A,
Best wine for a long talk at sunset?,Styles,Tequila… not wine!,Super Tuscan monster,Pinot Noir,,C,
What is 'carbonic maceration' known for?,Styles,Fortified wines,"Juicy, low-tannin reds",High tannin whites,,B,
His advice for opening night nerves?,Styles,Hide the bottle,Decant for 6 hours,Pop a Prosecco,,C,
What is 'botrytis' known for in wine?,Styles,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,,B,
"For beach days, Giuseppe brings…",Pairings,Albariño,Vintage Madeira,Hot mulled wine,,A,
What does 'riserva' (Italy) generally signal?,Styles,Higher sweetness,Longer aging,Lower alcohol,,B,
Prosecco uses which production method?,Classifications,Tank (Charmat),Solera system,Traditional method,,A,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Priorat,Ribera del Duero,,A,
What does 'riserva' (Italy) generally signal?,Styles,Lower alcohol,Higher sweetness,Longer aging,,C,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
Sherry can be biologically aged under…,Styles,Flor,Lees,Botrytis,,A,
Which wine is typically un-oaked?,Styles,Muscadet,Reserva Rioja,Napa Chardonnay,,A,
Giuseppe’s travel essential?,Styles,Spare tie,Corkscrew,Fondue set,,B,
What style is Vinho Verde usually known for?,Styles,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",,C,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Counting the legs,Letting aromas dance,,C,
What is 'botrytis' known for in wine?,Styles,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Mulled wine,Leftover Vermentino,,C,
Orange wine is made by…,Styles,Blending red/white,Using orange fruit,Skin-contact white grapes,,C,
Giuseppe’s cure for a dreary day?,Styles,A burnt espresso,A bright rosé,A flat cola,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Warm Merlot,Mulled wine,,A,
Sauternes is primarily made from…,Regions and Appellations,Gewürztraminer,Sémillon,Sauvignon Gris,,B,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Flat and sleepy,Al dente in spirit: lively,,C,
What style is Vinho Verde usually known for?,Styles,"Light, crisp whites",Fortified dessert wines,"Heavy, oaky reds",,A,
Rioja is primarily associated with which grape?,Regions and Appellations,Mazuelo,Garnacha,Tempranillo,,C,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Sangiovese,Nebbiolo,,B,
Which country created Carmenère revival?,Grapes,Chile,Uruguay,Argentina,,A,
‘Sur lie’ aging means aging on the…,Styles,Stems,Lees (dead yeast),Grape skins,,B,
‘Sur lie’ aging means aging on the…,Styles,Stems,Grape skins,Lees (dead yeast),,C,
Most Lambrusco is…,Pairings,Still white,Lightly sparkling red,Fortified rosé,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Leftover Vermentino,Mulled wine,,B,
Which wine is typically un-oaked?,Styles,Muscadet,Napa Chardonnay,Reserva Rioja,,A,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Touriga Nacional,Pinotage,Grenache,,C,
Sherry can be biologically aged under…,Styles,Lees,Flor,Botrytis,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A 40-year Port,A brooding Amarone,,A,
Giuseppe’s travel essential?,Styles,Fondue set,Corkscrew,Spare tie,,B,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Al dente in spirit: lively,Flat and sleepy,,B,
Which climate tends to give higher acidity?,Styles,Cool climate,Arid desert,Hot climate,,A,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Salute!,Skål!,,B,
What is 'botrytis' known for in wine?,Styles,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,,B,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Al dente in spirit: lively,Boiling hot,,B,
His advice for opening night nerves?,Styles,Hide the bottle,Decant for 6 hours,Pop a Prosecco,,C,
What flavor can oak impart?,Styles,Lime leaf,Black pepper only,Vanilla,,C,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Syrah,Pinot Noir,,A,
Which region produces Chablis?,Regions and Appellations,Burgundy,Rhone,Loire Valley,,A,
Which grape makes Barolo?,Regions and Appellations,Montepulciano,Sangiovese,Nebbiolo,,C,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Prozit!,Skål!,,A,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Gazpacho,Steak tartare,Potato chips,,C,
What’s the best pairing for laughter?,Pairings,Silence and spreadsheets,Only bottled water,Good friends and good wine,,C,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A burnt espresso,A flat cola,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Dry to sweet with high acidity,Always fortified,Always sparkling,,A,
Which region produces Chablis?,Regions and Appellations,Burgundy,Loire Valley,Rhone,,A,
Furmint is a key variety in…,Grapes,Tokaj,Vinho Verde,Rioja,,A,
Which grape makes Barolo?,Regions and Appellations,Nebbiolo,Sangiovese,Montepulciano,,A,
Tannins in wine come mostly from…,Styles,Filtration,"Skins, seeds, and oak",Fermentation temperature,,B,
Giuseppe’s rule on ice in wine?,Styles,Do what you love,Only in Champagne,Never ever!,,A,
