question,option_a,option_b,option_c,correct_answer
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,C
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,B
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,B
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,C
Sancerre is typically made from which grape?,Chenin Blanc,Sauvignon Blanc,Chardonnay,B
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,A
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,C
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,B
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,C
What is 'botrytis' known for in wine?,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,B
"For beach days, Giuseppe brings…",Albariño,Vintage Madeira,Hot mulled wine,A
What does 'riserva' (Italy) generally signal?,Higher sweetness,Longer aging,Lower alcohol,B
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,A
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,A
What does 'riserva' (Italy) generally signal?,Lower alcohol,Higher sweetness,Longer aging,C
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,B
Sherry can be biologically aged under…,Flor,Lees,Botrytis,A
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,A
Giuseppe’s travel essential?,Spare tie,Corkscrew,Fondue set,B
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",C
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,C
What is 'botrytis' known for in wine?,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,C
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,C
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,C
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,B
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Warm Merlot,Mulled wine,A
Sauternes is primarily made from…,Gewürztraminer,Sémillon,Sauvignon Gris,B
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,C
What style is Vinho Verde usually known for?,"Light, crisp whites",Fortified dessert wines,"Heavy, oaky reds",A
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,C
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,B
Which country created Carmenère revival?,Chile,Uruguay,Argentina,A
‘Sur lie’ aging means aging on the…,Stems,Lees (dead yeast),Grape skins,B
‘Sur lie’ aging means aging on the…,Stems,Grape skins,Lees (dead yeast),C
Most Lambrusco is…,Still white,Lightly sparkling red,Fortified rosé,B
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,B
Which wine is typically un-oaked?,Muscadet,Napa Chardonnay,Reserva Rioja,A
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,C
Sherry can be biologically aged under…,Lees,Flor,Botrytis,B
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,A
Giuseppe’s travel essential?,Fondue set,Corkscrew,Spare tie,B
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,B
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,B
Which climate tends to give higher acidity?,Cool climate,Arid desert,Hot climate,A
Which toast wins Giuseppe’s heart?,Prozit!,Salute!,Skål!,B
What is 'botrytis' known for in wine?,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,B
"If pasta is al dente, wine should be…",Flat and sleepy,Al dente in spirit: lively,Boiling hot,B
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,C
What flavor can oak impart?,Lime leaf,Black pepper only,Vanilla,C
Beaujolais is mostly made from which grape?,Gamay,Syrah,Pinot Noir,A
Which region produces Chablis?,Burgundy,Rhone,Loire Valley,A
Which grape makes Barolo?,Montepulciano,Sangiovese,Nebbiolo,C
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,A
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Steak tartare,Potato chips,C
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,C
Giuseppe’s cure for a dreary day?,A bright rosé,A burnt espresso,A flat cola,A
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always fortified,Always sparkling,A
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,A
Furmint is a key variety in…,Tokaj,Vinho Verde,Rioja,A
Which grape makes Barolo?,Nebbiolo,Sangiovese,Montepulciano,A
Tannins in wine come mostly from…,Filtration,"Skins, seeds, and oak",Fermentation temperature,B
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,A
‘Sur lie’ aging means aging on the…,Lees (dead yeast),Stems,Grape skins,A
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,C
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,A
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,C
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,A
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,B
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,C
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,A
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,C
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,A
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,C
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,B
What is 'botrytis' known for in wine?,Sparkling bubbles,Bacterial spoilage,Noble rot for sweet wines,C
Vouvray is made from…,Sauvignon Blanc,Chenin Blanc,Viognier,B
What pairs with pizza on a Tuesday?,Sauternes,Vintage Port,Sangiovese,C
Which country created Carmenère revival?,Chile,Argentina,Uruguay,A
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,A
Amarone is produced by…,Free-run juice only,Appassimento (dried grapes),Carbonic maceration,B
Which grape makes Barolo?,Nebbiolo,Sangiovese,Montepulciano,A
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,C
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,C
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,A
Giuseppe’s cure for a dreary day?,A flat cola,A bright rosé,A burnt espresso,B
Furmint is a key variety in…,Tokaj,Rioja,Vinho Verde,A
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,A
Which grape makes Barolo?,Montepulciano,Nebbiolo,Sangiovese,B
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,C
Which wine is typically un-oaked?,Reserva Rioja,Muscadet,Napa Chardonnay,B
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,A
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,B
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,A
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,A
Rioja is primarily associated with which grape?,Tempranillo,Garnacha,Mazuelo,A
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,A
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,B
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,A
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,A
Alsace Grand Cru is typically…,Single-varietal whites,Fortified dessert reds,Red blends,A
Sancerre is typically made from which grape?,Chardonnay,Chenin Blanc,Sauvignon Blanc,C
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,A
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,B
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,C
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,A
What is 'carbonic maceration' known for?,High tannin whites,"Juicy, low-tannin reds",Fortified wines,B
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Steak tartare,Potato chips,C
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,C
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,C
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,A
Which wine is typically un-oaked?,Napa Chardonnay,Muscadet,Reserva Rioja,B
What is the base wine style of Port?,Fortified sweet red,Dry sparkling,Unoaked white,A
What flavor can oak impart?,Vanilla,Black pepper only,Lime leaf,A
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,C
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,A
Provence Rosé is usually…,Fortified,Deep and sweet,Pale and dry,C
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,A
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
"When the pizza comes, he says…",Open that Port!,Bring the Chianti!,Fetch the Sauternes!,B
Best wine for a long talk at sunset?,Pinot Noir,Tequila… not wine!,Super Tuscan monster,A
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",A
What is the classic pairing for oysters?,Cabernet Sauvignon,Muscadet or Champagne,Amarone,B
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
"If a wine is 'corked', it smells like…",Fresh flowers,"Musty, wet cardboard",Clean citrus,B
Chianti is dominated by which grape?,Nebbiolo,Aglianico,Sangiovese,C
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,B
Which country created Carmenère revival?,Uruguay,Chile,Argentina,B
What pairs with pizza on a Tuesday?,Sauternes,Sangiovese,Vintage Port,B
Chianti is dominated by which grape?,Nebbiolo,Aglianico,Sangiovese,C
Which Italian region is Barbaresco from?,Tuscany,Piedmont,Veneto,B
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,C
Where is Priorat?,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",B
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,C
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,C
The wine for dancing in the kitchen?,Amontillado,Lambrusco,Barolo,B
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,A
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,C
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,A
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,C
Rioja is primarily associated with which grape?,Mazuelo,Garnacha,Tempranillo,C
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,C
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,C
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,A
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Central Otago,Marlborough,C
What does Giuseppe say the swirl is for?,Counting the legs,Letting aromas dance,Hypnotizing your date,B
Sherry can be biologically aged under…,Lees,Flor,Botrytis,B
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,A
What is the base wine style of Port?,Dry sparkling,Unoaked white,Fortified sweet red,C
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,B
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Silvaner Trocken,Kabinett Riesling,C
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,A
Provence Rosé is usually…,Deep and sweet,Pale and dry,Fortified,B
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,B
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,A
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,C
Which toast wins Giuseppe’s heart?,Salute!,Skål!,Prozit!,A
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,C
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,A
Which country created Carmenère revival?,Uruguay,Argentina,Chile,C
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,B
Best wine for a long talk at sunset?,Tequila… not wine!,Pinot Noir,Super Tuscan monster,B
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,A
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,C
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,B
The wine for dancing in the kitchen?,Amontillado,Lambrusco,Barolo,B
What does Giuseppe say the swirl is for?,Counting the legs,Hypnotizing your date,Letting aromas dance,C
His advice for opening night nerves?,Pop a Prosecco,Decant for 6 hours,Hide the bottle,A
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,B
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A cork sighing,A microwave beep,B
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,A
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,A
What flavor can oak impart?,Black pepper only,Lime leaf,Vanilla,C
What food is a friendly match with Pinot Noir?,Spicy curry,Caramel flan,Salmon,C
