level,category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Somm 1,Service & Storage,Ideal storage temperature for wine?,5°C,0°C,12-14°C (55°F),22°C,C,12-14°C (55°F) is correct because it best represents the topic of service & storage.
Somm 1,Grapes & Styles,"When someone calls a wine 'buttery', which grape might it be?",Viognier,Pinot Gris,Chardonnay,Sauvignon Blanc,C,Chardonnay is correct because it best represents the topic of grapes & styles.
Somm 1,Winemaking & Aging,Malolactic fermentation mainly affects what?,Tannin,Color,Acidity,Alcohol,C,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 1,Service & Storage,Champagne should be served at?,7°C (45°F),16°C,20°C,10°C,A,7°C (45°F) is correct because it best represents the topic of service & storage.
Somm 1,Winemaking & Aging,Malolactic fermentation mainly affects what?,Acidity,Tannin,Alcohol,Color,A,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 1,Tasting & Sensory,A 'tannic' wine feels?,Acidic,Sweet,Drying on gums,Oily,C,Drying on gums is correct because it best represents the topic of tasting & sensory.
Somm 1,Service & Storage,Champagne should be served at?,16°C,20°C,10°C,7°C (45°F),D,7°C (45°F) is correct because it best represents the topic of service & storage.
Somm 1,Winemaking & Aging,'Sur lie' aging means aging on?,Skins,Dead yeast cells,Pips,Stems,B,Dead yeast cells is correct because it best represents the topic of winemaking & aging.
Somm 1,Sparkling & Fortified,Port wine originates from?,Portugal,France,Spain,Italy,A,Portugal is correct because it best represents the topic of sparkling & fortified.
Somm 1,Food Pairing,Roast lamb pairs best with?,Moscato,Bordeaux blend,Pinot Grigio,Sancerre,B,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 1,Tasting & Sensory,Legs on glass show?,Tannin,Alcohol/sugar content,Acidity,Color,B,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 1,Tasting & Sensory,High acidity gives?,Freshness and crispness,Bitterness,Sweetness,Softness,A,Freshness and crispness is correct because it best represents the topic of tasting & sensory.
Somm 1,Wine Law & Labels,Grand Cru in Burgundy means?,Entry level,Top vineyard classification,Village wine,Regional blend,B,Top vineyard classification is correct because it best represents the topic of wine law & labels.
Somm 1,Tasting & Sensory,Legs on glass show?,Acidity,Alcohol/sugar content,Tannin,Color,B,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 1,Service & Storage,Champagne should be served at?,10°C,7°C (45°F),16°C,20°C,B,7°C (45°F) is correct because it best represents the topic of service & storage.
Somm 1,Service & Storage,Ideal storage temperature for wine?,12-14°C (55°F),5°C,0°C,22°C,A,12-14°C (55°F) is correct because it best represents the topic of service & storage.
Somm 1,Tasting & Sensory,High acidity gives?,Softness,Sweetness,Freshness and crispness,Bitterness,C,Freshness and crispness is correct because it best represents the topic of tasting & sensory.
Somm 1,Tasting & Sensory,A 'tannic' wine feels?,Oily,Sweet,Acidic,Drying on gums,D,Drying on gums is correct because it best represents the topic of tasting & sensory.
Somm 1,Food Pairing,Oysters call for?,Cabernet,Syrah,Amarone,Champagne or Muscadet,D,Champagne or Muscadet is correct because it best represents the topic of food pairing.
Somm 1,Sparkling & Fortified,Champagne gets bubbles from?,Secondary fermentation,Yeast addition only,Still fermentation,CO2 injection,A,Secondary fermentation is correct because it best represents the topic of sparkling & fortified.
Somm 1,Sparkling & Fortified,Port wine originates from?,France,Spain,Portugal,Italy,C,Portugal is correct because it best represents the topic of sparkling & fortified.
Somm 1,Grapes & Styles,Which grape is the backbone of Chianti?,Dolcetto,Nebbiolo,Sangiovese,Barbera,C,Sangiovese is correct because it best represents the topic of grapes & styles.
Somm 1,Service & Storage,Champagne should be served at?,10°C,16°C,20°C,7°C (45°F),D,7°C (45°F) is correct because it best represents the topic of service & storage.
Somm 1,Food Pairing,Roast lamb pairs best with?,Moscato,Sancerre,Bordeaux blend,Pinot Grigio,C,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 1,Winemaking & Aging,Oak aging adds what flavors?,Citrus,Apple,Grass,Vanilla and spice,D,Vanilla and spice is correct because it best represents the topic of winemaking & aging.
Somm 1,Winemaking & Aging,Malolactic fermentation mainly affects what?,Tannin,Acidity,Alcohol,Color,B,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 1,Tasting & Sensory,Legs on glass show?,Tannin,Alcohol/sugar content,Acidity,Color,B,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 1,Grapes & Styles,"When someone calls a wine 'buttery', which grape might it be?",Sauvignon Blanc,Pinot Gris,Viognier,Chardonnay,D,Chardonnay is correct because it best represents the topic of grapes & styles.
Somm 1,Wine Law & Labels,DOCG stands for?,Denominazione Classica,Origine Controllata Garantita,Origine Protetta,Denominazione di Origine Controllata e Garantita,D,Denominazione di Origine Controllata e Garantita is correct because it best represents the topic of wine law & labels.
Somm 1,Winemaking & Aging,Malolactic fermentation mainly affects what?,Acidity,Color,Tannin,Alcohol,A,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 1,Food Pairing,Roast lamb pairs best with?,Sancerre,Moscato,Pinot Grigio,Bordeaux blend,D,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 1,Winemaking & Aging,'Sur lie' aging means aging on?,Skins,Dead yeast cells,Pips,Stems,B,Dead yeast cells is correct because it best represents the topic of winemaking & aging.
Somm 1,Food Pairing,Oysters call for?,Amarone,Cabernet,Champagne or Muscadet,Syrah,C,Champagne or Muscadet is correct because it best represents the topic of food pairing.
Somm 1,Food Pairing,Roast lamb pairs best with?,Pinot Grigio,Moscato,Bordeaux blend,Sancerre,C,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 1,Sparkling & Fortified,Champagne gets bubbles from?,Still fermentation,CO2 injection,Yeast addition only,Secondary fermentation,D,Secondary fermentation is correct because it best represents the topic of sparkling & fortified.
Somm 1,Grapes & Styles,Which grape is the backbone of Chianti?,Dolcetto,Barbera,Sangiovese,Nebbiolo,C,Sangiovese is correct because it best represents the topic of grapes & styles.
Somm 1,Winemaking & Aging,'Sur lie' aging means aging on?,Dead yeast cells,Stems,Pips,Skins,A,Dead yeast cells is correct because it best represents the topic of winemaking & aging.
Somm 1,Sparkling & Fortified,Port wine originates from?,France,Spain,Italy,Portugal,D,Portugal is correct because it best represents the topic of sparkling & fortified.
Somm 1,Service & Storage,Champagne should be served at?,20°C,10°C,16°C,7°C (45°F),D,7°C (45°F) is correct because it best represents the topic of service & storage.
